agentId,startNodeId,goalNodeId
1,379473,294849
2,7313,168958
3,87475,124558
4,6954,319253
5,337740,172449
6,331569,251765
7,43141,59166
8,170879,296037
9,289827,401
10,212280,86790
11,3599,45751
12,374769,43320
13,124209,43575
14,293284,374786
15,1859,128933
16,171063,86817
17,87538,86434
18,169138,129258
19,378959,376571
20,167885,128825
21,103494,219713
22,208681,331857
23,209214,291977
24,171769,212464
25,251516,45417
26,350094,250938
27,3959,253017
28,1853,82981
29,207407,480
30,250075,310553
31,2695,252403
32,171752,274554
33,213906,165646
34,253200,333364
35,89638,101694
36,376930,128936
37,48256,260706
38,129286,46806
39,2571,129059
40,333025,83040
41,251681,129116
42,333040,30533
43,47933,47167
44,128462,84978
45,125104,43248
46,292920,99485
47,367553,44638
48,280326,89101
49,375158,291955
50,315545,376944
51,48258,87304
52,379499,295945
53,167161,208850
54,9,124611
55,254458,170760
56,256074,292381
57,212758,172141
58,166083,41698
59,249836,331378
60,295614,251934
