agentId,startNodeId,goalNodeId
1,252417,43494
2,291996,293161
3,129976,165978
4,1487,88240
5,375538,378835
6,335573,5445
7,126484,289983
8,295684,130017
9,129652,336425
10,143766,85674
11,128579,333775
12,209943,42663
13,375064,336595
14,127739,290816
15,127449,316313
16,168522,333364
17,294302,86790
18,3537,212451
19,374430,1321
20,373366,377293
21,46081,292801
22,165631,210902
23,374440,165719
24,289847,372900
25,3655,89039
26,373741,56646
27,379105,335754
28,334494,170342
29,85689,213423
30,331568,295566
31,31614,88920
32,250203,315545
33,87305,33053
34,47464,169135
35,212055,295253
36,374785,294836
37,337343,210249
38,254335,59166
39,306173,4364
40,378062,169920
41,167081,130324
42,294175,290932
43,83697,293159
44,170338,250023
45,333772,128166
46,126729,4686
47,84364,292014
48,374643,253017
49,89669,107154
50,254037,291265
51,254931,335580
52,334503,336894
53,87530,291715
54,129616,374821
55,147833,480
56,224046,44638
57,47275,85329
58,129252,126727
59,6363,378474
60,251098,5339
