agentId,startNodeId,goalNodeId
1,211263,85329
2,165635,292014
3,292084,376944
4,170674,253015
5,129302,88920
6,292691,168114
7,249144,124565
8,209900,167066
9,344945,253021
10,239,98454
11,165974,99485
12,209179,167044
13,42358,105306
14,213545,168182
15,228066,42663
16,171714,130262
17,249152,98814
18,134754,4704
19,253808,251934
20,291297,86817
21,212452,331193
22,212401,171835
23,2458,4364
24,89654,87512
25,250219,305766
26,249420,43575
27,84480,129783
28,207301,210249
29,294784,293519
30,249057,85139
31,311993,375883
32,210981,375840
33,213525,316313
34,130735,170876
35,331232,291715
36,336658,334473
37,43014,375299
38,47573,336956
39,169680,126737
40,129300,88256
41,208075,83178
42,41635,17453
43,238,167095
44,2576,127821
45,82385,130017
46,252124,46111
47,207657,82829
48,162714,212451
49,48272,88254
50,2401,85674
51,375519,376862
52,167452,165978
53,1795,56646
54,327185,328985
55,127087,376684
56,47282,52266
57,248783,292801
58,45392,211442
59,124615,30533
60,249131,207033
