agentId,startNodeId,goalNodeId
1,34872,69322
2,81789,47525
3,55398,23304
4,93688,12878
5,1115,70698
6,104168,58602
7,35629,44246
8,34722,226
9,70145,5780
10,81970,70594
11,58560,93664
12,34660,92962
13,1917,23584
14,58304,54979
15,108,12531
16,92431,80864
17,4486,80994
18,1048,1405
19,70208,105040
20,59638,24997
21,85359,70909
22,1500,13337
23,12566,24326
24,15428,23979
25,25894,35807
26,638,93279
27,93727,82253
28,59431,81449
29,58169,34900
30,47887,94108
31,90025,70979
32,89605,35880
33,47356,59225
34,36348,78266
35,23200,48971
36,47004,12141
37,24886,58245
38,83620,92409
39,36549,47705
40,10704,565
41,94148,24427
42,12245,13252
43,1152,34995
44,19034,36115
45,41060,69719
46,59220,82005
47,105238,70108
48,93275,82079
49,57854,104600
50,47148,34663
51,73576,69824
52,104970,58176
53,103957,104581
54,12850,46379
55,81487,81286
56,24389,59236
57,39555,23107
58,214,851
59,47475,24795
60,491,1649
