agentId,startNodeId,goalNodeId
1,348,75943
2,12735,217
3,70419,78266
4,1229,1186
5,104392,58811
6,81966,35029
7,105772,36338
8,80920,105221
9,49180,92962
10,23535,44934
11,35714,24925
12,104600,35205
13,36084,58554
14,23274,21169
15,38494,12744
16,12197,59461
17,47390,35454
18,73809,80861
19,23731,1615
20,70245,24372
21,1227,348
22,103957,58347
23,82990,46826
24,75314,104198
25,59155,12875
26,92720,104333
27,60753,105214
28,23126,35497
29,46220,77868
30,105222,82144
31,105317,94983
32,93699,9176
33,80874,35088
34,96676,59225
35,47594,35171
36,24360,775
37,59113,47673
38,94044,81284
39,6621,93279
40,23940,11825
41,63740,104089
42,94011,70487
43,24433,54979
44,1264,70594
45,105862,35880
46,33150,47174
47,87914,36502
48,13330,36160
49,23728,24325
50,69737,81376
51,105215,36347
52,12039,81286
53,47039,41713
54,46855,82245
55,46837,46221
56,99021,11763
57,93488,69966
58,40663,41924
59,68010,105494
60,15639,69322
