agentId,startNodeId,goalNodeId
1,838,222
2,70633,12565
3,105004,104092
4,17774,105353
5,90714,40418
6,57300,26943
7,104471,93664
8,70787,58554
9,59179,80864
10,81616,70909
11,24249,104686
12,82127,46835
13,93133,90901
14,59534,35096
15,12406,1922
16,59021,48118
17,68663,58602
18,24386,54745
19,12568,48761
20,9198,23950
21,492,59572
22,24284,93209
23,848,82529
24,72724,104924
25,93973,81277
26,35098,94046
27,5990,24078
28,48108,80915
29,13250,24380
30,71201,348
31,81091,86408
32,13161,0
33,46476,11763
34,57956,775
35,29511,23338
36,92648,47056
37,80995,103968
38,24112,81828
39,104301,94108
40,82287,4089
41,93457,69824
42,57758,44246
43,81195,12875
44,38284,55375
45,70785,58811
46,23967,104600
47,92569,50044
48,12499,36399
49,35104,35497
50,92859,24177
51,69317,105068
52,1184,93040
53,59607,104166
54,45983,347
55,12185,51525
56,35873,80877
57,70767,61571
58,104371,69966
59,81548,71006
60,35312,10890
