agentId,startNodeId,goalNodeId
1,105666,93664
2,12145,1299
3,23411,71884
4,35319,26920
5,24925,35497
6,104965,48971
7,22441,47489
8,94120,36160
9,75943,82597
10,81765,70138
11,71464,92618
12,104968,93209
13,51549,52423
14,46692,57770
15,59494,12773
16,23245,46221
17,34819,34686
18,104548,93490
19,46940,55375
20,1572,36347
21,7671,12531
22,78709,81503
23,82345,78266
24,69060,46835
25,81093,58176
26,51758,1259
27,47980,16478
28,69083,59400
29,58628,105214
30,81288,70035
31,70806,58662
32,71121,105247
33,79793,43638
34,69576,34663
35,47885,24986
36,70704,71006
37,46932,24078
38,93374,58402
39,70457,105017
40,45960,13365
41,82428,69966
42,74835,94148
43,93342,47494
44,46446,58165
45,24786,35073
46,7729,4928
47,93625,82005
48,47525,24390
49,24178,36049
50,105770,86408
51,99861,105040
52,36127,81660
53,318,54745
54,12823,23584
55,1569,70698
56,35873,13192
57,24852,24325
58,59460,1468
59,104813,77868
60,50289,94983
