agentId,startNodeId,goalNodeId
1,69893,25020
2,35917,93279
3,23980,94306
4,103733,24997
5,72093,92578
6,92930,57770
7,47265,94983
8,93379,70979
9,57920,102031
10,69509,851
11,21810,52423
12,34873,69719
13,12955,36399
14,740,19221
15,58063,70698
16,39136,104304
17,30560,58165
18,12212,93481
19,24819,104686
20,36395,58245
21,105221,36225
22,102870,1481
23,105637,24954
24,70880,40851
25,104542,54745
26,59534,46864
27,92640,35096
28,13296,232
29,24595,81828
30,103974,105488
31,1490,735
32,71212,69956
33,834,82675
34,81519,24778
35,24424,23108
36,11576,81922
37,242,69824
38,868,24465
39,23534,94046
40,93068,57977
41,105627,70146
42,82174,23166
43,93026,54746
44,35937,0
45,846,24078
46,13297,81796
47,34830,103985
48,93173,35073
49,52633,61571
50,80994,222
51,47734,35668
52,89418,65000
53,69476,12531
54,58735,94092
55,84064,348
56,104368,36502
57,93049,41713
58,100128,13192
59,12988,36534
60,28846,57884
