agentId,startNodeId,goalNodeId
1,93619,81449
2,48153,61571
3,81283,104198
4,69958,81796
5,975,841
6,21624,43638
7,56251,93680
8,35170,70794
9,81758,94108
10,83831,47245
11,104167,93445
12,58970,35737
13,23869,80878
14,23093,24078
15,1639,105068
16,13470,36131
17,100945,70035
18,24812,51525
19,23313,44724
20,384,81503
21,24459,105040
22,93688,18404
23,23839,81655
24,58034,70376
25,104443,35205
26,59215,33383
27,178,81376
28,110,104304
29,44910,25020
30,906,12878
31,92626,86408
32,1123,69794
33,48052,24465
34,705,65000
35,23958,1858
36,70205,93040
37,105696,81493
38,104509,4718
39,58815,35880
40,81937,80881
41,52820,77449
42,86176,93209
43,69523,69322
44,23804,59225
45,13242,94046
46,69857,96256
47,77658,24380
48,81082,54745
49,69891,47056
50,92409,103734
51,422,1405
52,62049,104683
53,24797,34900
54,78056,348
55,50685,58165
56,47477,1259
57,81827,70146
58,46479,69966
59,46238,39976
60,11904,13337
