agentId,startNodeId,goalNodeId
1,58135,46554
2,105109,105353
3,77029,69322
4,58826,47174
5,70362,70146
6,88788,92537
7,73156,80994
8,36429,36115
9,12457,12875
10,35302,35288
11,92838,90901
12,46418,52191
13,11769,222
14,47112,33781
15,82343,82245
16,47980,40418
17,46632,58245
18,94220,94187
19,82109,93691
20,67,232
21,80959,81277
22,105873,103734
23,12409,12423
24,93681,105236
25,93209,81449
26,47251,47705
27,4695,985
28,24173,24324
29,28846,24925
30,1708,13252
31,69330,80877
32,11982,15615
33,75080,48130
34,12885,24360
35,82042,78266
36,13439,26943
37,47244,24177
38,24598,36049
39,914,10681
40,6853,1072
41,92631,92678
42,46646,35137
43,35029,21414
44,23943,24326
45,24011,23979
46,93246,104686
47,35663,47245
48,1158,1403
49,1432,1325
50,105034,104924
51,81684,93445
52,81080,80915
53,80990,81029
54,25018,50044
55,59357,41924
56,36185,41713
57,70941,86408
58,94256,82675
59,48108,48118
60,46903,35497
