agentId,startNodeId,goalNodeId
1,1504,49624
2,10680,1578
3,13224,35802
4,69400,70138
5,98810,105247
6,24820,36225
7,70771,55375
8,58279,93209
9,93044,77449
10,1010,846
11,68851,61571
12,33,979
13,1270,24372
14,104793,104581
15,104597,81493
16,103989,81029
17,25683,58165
18,104721,70108
19,28846,35807
20,64603,36115
21,82115,93382
22,47686,36052
23,27188,24177
24,69747,70376
25,104442,80994
26,82219,104965
27,12625,1119
28,93840,93279
29,1327,13365
30,71212,44246
31,75045,47918
32,45961,24713
33,91344,70582
34,735,11763
35,92371,94187
36,70488,81922
37,58815,78266
38,23541,35088
39,81933,94108
40,57760,46379
41,65210,70794
42,75500,69339
43,23210,58030
44,58405,92955
45,70801,93445
46,104753,104587
47,105226,93490
48,93280,69794
49,85966,81449
50,96255,104166
51,23381,24325
52,3190,12812
53,24469,36338
54,58818,65000
55,47633,82177
56,85756,93040
57,69739,90901
58,81920,105275
59,103103,104600
60,77658,58273
